FID *,Shape *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,num_1_ans
1,Polygon,Aba North,NG001001,Aba North,NG001,Nigeria,NG,ABA NORTH,5
2,Polygon,Aba South,NG001002,Aba South,NG001,Nigeria,NG,ABA SOUTH,3
3,Polygon,Abaji,NG015001,Abaji,NG015,Nigeria,NG,ABAJI,2
4,Polygon,Abak,NG003001,Abak,NG003,Nigeria,NG,ABAK,5
5,Polygon,Abakaliki,NG011001,Abakaliki,NG011,Nigeria,NG,ABAKALIKI,5
6,Polygon,Abeokuta North,NG028001,Abeokuta North,NG028,Nigeria,NG,ABEOKUTA NORTH,5
7,Polygon,Abeokuta South,NG028002,Abeokuta South,NG028,Nigeria,NG,ABEOKUTA SOUTH,3
8,Polygon,Abi,NG009001,Abi,NG009,Nigeria,NG,ABI,5
9,Polygon,Aboh-Mbaise,NG017001,Aboh-Mbaise,NG017,Nigeria,NG,ABOH-MBAISE,5
10,Polygon,Abua/Odual,NG033001,Abua/Odual,NG033,Nigeria,NG,ABUA/ODUAL,3
11,Polygon,Abuja Municipal,NG015002,Abuja Municipal,NG015,Nigeria,NG,ABUJA MUNICIPAL,3
12,Polygon,Adavi,NG023001,Adavi,NG023,Nigeria,NG,ADAVI,2
13,Polygon,Ado,NG007001,Ado,NG007,Nigeria,NG,ADO,4
14,Polygon,Ado-Odo/Ota,NG028003,Ado-Odo/Ota,NG028,Nigeria,NG,ADO-ODO/OTA,3
15,Polygon,Ado Ekiti,NG013001,Ado Ekiti,NG013,Nigeria,NG,ADO EKITI,4
16,Polygon,Afijio,NG031001,Afijio,NG031,Nigeria,NG,AFIJIO,5
17,Polygon,Afikpo North,NG011002,Afikpo North,NG011,Nigeria,NG,AFIKPO NORTH,3
18,Polygon,Afikpo South,NG011003,Afikpo South,NG011,Nigeria,NG,AFIKPO SOUTH,3
19,Polygon,Agaie,NG027001,Agaie,NG027,Nigeria,NG,AGAIE,2
20,Polygon,Agatu,NG007002,Agatu,NG007,Nigeria,NG,AGATU,1
21,Polygon,Agege,NG025001,Agege,NG025,Nigeria,NG,AGEGE,3
22,Polygon,Aguata,NG004001,Aguata,NG004,Nigeria,NG,AGUATA,5
23,Polygon,Agwara,NG027002,Agwara,NG027,Nigeria,NG,AGWARA,4
24,Polygon,Ahiazu-Mbaise,NG017002,Ahiazu-Mbaise,NG017,Nigeria,NG,AHIAZU-MBAISE,1
25,Polygon,Ahoada East,NG033002,Ahoada East,NG033,Nigeria,NG,AHOADA EAST,4
26,Polygon,Ahoada West,NG033003,Ahoada West,NG033,Nigeria,NG,AHOADA WEST,4
27,Polygon,Aiyedade,NG030001,Aiyedade,NG030,Nigeria,NG,AIYEDADE,1
