"","V1"
"1","start"
"2","end"
"3","today"
"4","deviceid"
"5","check"
"6","x.uuid"
"7","enumerator"
"8","consent"
"9","respondent.type"
"10","refugee.settlement"
"11","refugee.settlement.zone"
"12","refugee.settlement.zone.other"
"13","district"
"14","subcounty"
"15","place"
"16","place.other"
"17","point.number"
"18","respondent.age"
"19","respondent.sex"
"20","head.of.household"
"21","hoh.equivalent"
"22","hoh.sex"
"23","marital.status"
"24","nationality"
"25","nationality.other"
"26","males.0.2"
"27","females.0.2"
"28","males.3.5"
"29","females.3.5"
"30","males.6.12"
"31","females.6.12"
"32","males.13.18"
"33","females.13.18"
"34","males.18.59"
"35","females.18.59"
"36","males.60.over"
"37","females.60.over"
"38","calc.boys.ed"
"39","calc.girls.ed"
"40","calc.boys"
"41","calc.girls"
"42","calc.5.and.under"
"43","calc.minors"
"44","calc.males"
"45","calc.females"
"46","calc.household"
"47","household.size"
"48","household.size.note"
"49","vulnerable.hh.note"
"50","unaccompanied.minor"
"51","orphan"
"52","separated.minor"
"53","chronic.ill"
"54","disabled"
"55","pregnant.lactating"
"56","biggest.needs"
"57","biggest.needs.food"
"58","biggest.needs.health.nutrition"
"59","biggest.needs.water.sanitation"
"60","biggest.needs.livelihoods"
"61","biggest.needs.shelter"
"62","biggest.needs.nfis"
"63","biggest.needs.education"
"64","biggest.needs.protection"
"65","biggest.needs.other"
"66","biggest.needs.none"
"67","biggest.needs.no.answer"
"68","origin.location"
"69","origin.location.other"
"70","origin.level.1"
"71","origin.level.1.other"
"72","origin.level.2"
"73","origin.level.2.other"
"74","date.displaced"
"75","date.arrival"
"76","origin.id"
"77","registration"
"78","verification"
"79","psn"
"80","disabled.psn"
"81","pregnant.lactating.psn"
"82","elderly.psn"
"83","born.uganda"
"84","born.uganda.number"
"85","born.uganda.registered"
"86","child.prot.support.campaign"
"87","psych.support.campaign"
"88","sgbv.support.campaign"
"89","psych.distress"
"90","psych.distress.therapy"
"91","uasc.parent.location"
"92","uasc.prot.services"
"93","family.reunion"
"94","uasc.monitoring.visit"
"95","uasc.monitoring.visit.date"
"96","child.violence"
"97","security"
"98","insecurity.reasons"
"99","insecurity.reasons.attack.refugee"
"100","insecurity.reasons.attack.host"
"101","insecurity.reasons.harassment.refugee"
"102","insecurity.reasons.harassment.host"
"103","insecurity.reasons.sexual.violence"
"104","insecurity.reasons.abduction"
"105","insecurity.reasons.forced.recruitment"
"106","insecurity.reasons.cattle.raid"
"107","insecurity.reasons.early.marriage"
"108","insecurity.reasons.other"
"109","insecurity.reasons.none"
"110","insecurity.reasons.no.answer"
"111","insecurity.reasons.other"
"112","security.provider"
"113","security.provider.police"
"114","security.provider.local.government"
"115","security.provider.opm"
"116","security.provider.unhcr"
"117","security.provider.ngo"
"118","security.provider.community.group"
"119","security.provider.other"
"120","security.provider.none"
"121","security.provider.no.answer"
"122","security.provider.other"
"123","refugee.relations"
"124","host.relations"
"125","main.water.source"
"126","main.water.source.other"
"127","other.water.sources"
"128","other.water.sources.household.connection"
"129","other.water.sources.public.tap"
