"","refugee"
"1",0.00520833333333333
"2",0.00520833333333333
"3",0.00520833333333333
"4",0.00520833333333333
"5",0.00520833333333333
"6",0.416666666666667
"7",0.00520833333333333
"8",0.00520833333333333
"9",0.00520833333333333
"10",0.00520833333333333
"11",0.00520833333333333
"12",0.00520833333333333
"13",0.00520833333333333
"14",0.416666666666667
"15",0.00520833333333333
"16",0.00520833333333333
"17",0.00520833333333333
"18",0.00520833333333333
"19",0.00520833333333333
"20",0.00520833333333333
"21",0.00520833333333333
"22",0.00520833333333333
"23",0.00520833333333333
"24",0.00520833333333333
"25",0.00520833333333333
"26",0.00520833333333333
"27",0.00520833333333333
"28",0.00520833333333333
"29",0.00520833333333333
"30",0.00520833333333333
"31",0.00520833333333333
"32",0.00520833333333333
"33",0.00520833333333333
"34",0.00520833333333333
